model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.39453958696735064,-0.39453958696735064,-0.4542187172905045,0.7319643433472739,-0.6281238627590506,-0.3614118747588986,2.7179718017578125,1.9497096538543701,23.625725269317627,0.004445075988769531,0.00036716461181640625,0.18886160850524902,2,True,10
ExtraTreesMSE_BAG_L1,-0.3911767955975135,-0.3911767955975135,-0.4548918704659343,0.7346214692986889,-0.6254412806950893,-0.37887983489563337,0.13733172416687012,0.1886744499206543,1.7915656566619873,0.13733172416687012,0.1886744499206543,1.7915656566619873,1,True,5
RandomForestMSE_BAG_L1,-0.3995940813335571,-0.3995940813335571,-0.4558860933036895,0.7282161176883148,-0.6321345436958473,-0.38044892704914623,0.70699143409729,0.19599080085754395,2.134068727493286,0.70699143409729,0.19599080085754395,2.134068727493286,1,True,3
LightGBM_BAG_L1,-0.3965150300772979,-0.3965150300772979,-0.4457445865233395,0.7312594796024395,-0.6296943941923716,-0.3913329015302567,0.32994771003723145,0.13173365592956543,4.946691513061523,0.32994771003723145,0.13173365592956543,4.946691513061523,1,True,2
LightGBMXT_BAG_L1,-0.3761486653785584,-0.3761486653785584,-0.44858008379124,0.7463249747068263,-0.6133095999399963,-0.3927955389896904,0.31905078887939453,0.12652945518493652,3.326961040496826,0.31905078887939453,0.12652945518493652,3.326961040496826,1,True,1
CatBoost_BAG_L1,-0.37973216560514683,-0.37973216560514683,-0.45012767180954005,0.7433972764081207,-0.6162241196230044,-0.3953251701448907,0.6713054180145264,0.8343932628631592,20.874627590179443,0.6713054180145264,0.8343932628631592,20.874627590179443,1,True,4
XGBoost_BAG_L1,-0.3906335776465683,-0.3906335776465683,-0.4558019663112381,0.7355348157872585,-0.6250068620795841,-0.4047876730158964,0.41172289848327637,0.11274027824401855,116.81198048591614,0.41172289848327637,0.11274027824401855,116.81198048591614,1,True,7
LightGBMLarge_BAG_L1,-0.36967556348646247,-0.36967556348646247,-0.43236425325191047,0.7513703598793408,-0.6080095093717387,-0.40587924286283833,0.33369898796081543,0.1350090503692627,11.662667512893677,0.33369898796081543,0.1350090503692627,11.662667512893677,1,True,9
NeuralNetTorch_BAG_L1,-0.44299712016006354,-0.44299712016006354,-0.47795853759641194,0.6957724601237006,-0.6655802882898979,-0.409706195713613,1.2202050685882568,1.3064141273498535,11.237576723098755,1.2202050685882568,1.3064141273498535,11.237576723098755,1,True,8
NeuralNetFastAI_BAG_L1,-0.4495545252205604,-0.4495545252205604,-0.4827220920098,0.6872356463184858,-0.6704882737382962,-0.8617498141266404,3.2218313217163086,5.451416492462158,48.46006989479065,3.2218313217163086,5.451416492462158,48.46006989479065,1,True,6
