model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L1,-0.010074163034983184,-0.010074163034983184,-0.08930655494562728,0.9850214731605168,-0.10037013019311664,-0.0381654094841184,0.1264030933380127,0.07307791709899902,1.0582301616668701,0.1264030933380127,0.07307791709899902,1.0582301616668701,1,True,3
WeightedEnsemble_L2,-0.010074163034983184,-0.010074163034983184,-0.08930655494562728,0.9850214731605168,-0.10037013019311664,-0.0381654094841184,0.12986087799072266,0.07347774505615234,1.1301343441009521,0.003457784652709961,0.0003998279571533203,0.07190418243408203,2,True,4
LightGBMXT_BAG_L1,-0.10209792464072981,-0.10209792464072981,-0.27617294958207267,,-0.3195276586474633,-0.1832405012870634,0.28133583068847656,0.10043859481811523,1.937748670578003,0.28133583068847656,0.10043859481811523,1.937748670578003,1,True,1
LightGBM_BAG_L1,-0.10209792464072981,-0.10209792464072981,-0.27617294958207267,,-0.3195276586474633,-0.1832405012870634,0.2871389389038086,0.0748605728149414,1.451568841934204,0.2871389389038086,0.0748605728149414,1.451568841934204,1,True,2
