model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.8488501144030769,-0.8488501144030769,-0.7390633285663568,0.6593107244354252,-0.9213306216571101,-0.7886274059195163,10.78965950012207,5.689076900482178,71.27768683433533,0.00403285026550293,0.0072138309478759766,0.2879211902618408,2,True,8
LightGBM_BAG_L1,-0.8859611142465148,-0.8859611142465148,-0.7668030344291792,0.6357941769614304,-0.9412550739552562,-0.8140673947370128,0.8873574733734131,0.07507610321044922,2.276352643966675,0.8873574733734131,0.07507610321044922,2.276352643966675,1,True,2
LightGBMXT_BAG_L1,-0.9061709874076013,-0.9061709874076013,-0.789460662616653,0.6262166153785731,-0.9519301378817677,-0.8185975477091356,0.8799207210540771,0.1386873722076416,4.1208086013793945,0.8799207210540771,0.1386873722076416,4.1208086013793945,1,True,1
CatBoost_BAG_L1,-0.9282736835083102,-0.9282736835083102,-0.8042455243357728,0.6237905629160476,-0.9634696069458082,-0.8275467930186946,1.1830143928527832,0.6598124504089355,7.908915281295776,1.1830143928527832,0.6598124504089355,7.908915281295776,1,True,4
ExtraTreesMSE_BAG_L1,-0.8360064080751265,-0.8360064080751265,-0.7000910059787431,0.6403955609021253,-0.914333860291265,-0.8483621824504964,0.8595705032348633,0.20920538902282715,3.5161495208740234,0.8595705032348633,0.20920538902282715,3.5161495208740234,1,True,5
RandomForestMSE_BAG_L1,-0.841980227768686,-0.841980227768686,-0.6977182675908935,0.63652506326409,-0.9175948058749493,-0.8506152227099614,0.8301866054534912,0.13009428977966309,2.0410397052764893,0.8301866054534912,0.13009428977966309,2.0410397052764893,1,True,3
NeuralNetFastAI_BAG_L1,-0.9059706232846607,-0.9059706232846607,-0.7574857451469451,0.6803122840521255,-0.9518248910827352,-0.9036225078780418,7.025497674942017,4.607674837112427,55.24730849266052,7.025497674942017,4.607674837112427,55.24730849266052,1,True,6
XGBoost_BAG_L1,-1.9553268998042255,-1.9553268998042255,-1.1957244157122697,0.6482132392225832,-1.3983300396559553,-2.2096168501061197,0.6719496250152588,0.38422060012817383,7.0544798374176025,0.6719496250152588,0.38422060012817383,7.0544798374176025,1,True,7
