model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.25116970460633453,-0.25116970460633453,-0.34612716774030977,0.8966196078410285,-0.5011683395889395,-0.27818791480874705,1.177088975906372,0.27597856521606445,66.13701605796814,0.002569913864135742,0.00035834312438964844,0.0894320011138916,2,True,5
RandomForestMSE_BAG_L1,-0.25581306314535124,-0.25581306314535124,-0.3541632104911046,0.8942052031273182,-0.5057796586907695,-0.27947067336649806,0.8245034217834473,0.1450653076171875,1.8750417232513428,0.8245034217834473,0.1450653076171875,1.8750417232513428,1,True,3
LightGBMXT_BAG_L1,-0.23815878933301884,-0.23815878933301884,-0.31521876576726104,0.9033853946403205,-0.48801515276988977,-0.34046699812123604,0.35001564025878906,0.1305549144744873,64.1725423336029,0.35001564025878906,0.1305549144744873,64.1725423336029,1,True,1
CatBoost_BAG_L1,-0.3023109305879659,-0.3023109305879659,-0.36881050922315534,0.8755180463037533,-0.5498280918505036,-0.36183426386555634,0.6123783588409424,0.5062258243560791,5.470642566680908,0.6123783588409424,0.5062258243560791,5.470642566680908,1,True,4
LightGBM_BAG_L1,-0.22872577794414134,-0.22872577794414134,-0.3175876929835874,0.9073411120181484,-0.47825283892951576,-0.36527096012545757,0.5256595611572266,0.10905122756958008,17.019380807876587,0.5256595611572266,0.10905122756958008,17.019380807876587,1,True,2
