model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.14410284927909636,-0.14410284927909636,-0.22661881607641693,0.8870562818796927,-0.37960881085545994,-0.12794736504808618,2.490029811859131,1.0805213451385498,29.832582712173462,0.0029320716857910156,0.00043392181396484375,0.15664458274841309,2,True,7
RandomForestMSE_BAG_L1,-0.15087115251881145,-0.15087115251881145,-0.2416138234877103,0.8810786539119302,-0.38842135950384016,-0.13209435778615372,0.7774412631988525,0.1173558235168457,1.3859362602233887,0.7774412631988525,0.1173558235168457,1.3859362602233887,1,True,3
ExtraTreesMSE_BAG_L1,-0.16168409670044134,-0.16168409670044134,-0.2400007673941578,0.8723498292422607,-0.4020996104206535,-0.13588312075271555,0.9109201431274414,0.13573694229125977,2.3306350708007812,0.9109201431274414,0.13573694229125977,2.3306350708007812,1,True,5
CatBoost_BAG_L1,-0.12701258595605322,-0.12701258595605322,-0.19550828423567057,0.9019023131064161,-0.3563882517087975,-0.15828324223273865,0.7987363338470459,0.8269946575164795,25.95936679840088,0.7987363338470459,0.8269946575164795,25.95936679840088,1,True,4
LightGBMXT_BAG_L1,-0.13552396867147043,-0.13552396867147043,-0.19929026763021193,0.8946285386280834,-0.36813580194198775,-0.17815606947465884,0.589104413986206,0.14814996719360352,16.53367328643799,0.589104413986206,0.14814996719360352,16.53367328643799,1,True,1
LightGBM_BAG_L1,-0.1392554578933946,-0.1392554578933946,-0.2008682098979201,0.8921534031360876,-0.37316947610086576,-0.1835471476440531,0.6063542366027832,0.1424422264099121,12.781089782714844,0.6063542366027832,0.1424422264099121,12.781089782714844,1,True,2
NeuralNetFastAI_BAG_L1,-0.3538024660903746,-0.3538024660903746,-0.4666869758049727,0.7362850566374425,-0.594812967318614,-0.4782498572020151,3.75101900100708,3.877253532409668,14.316812515258789,3.75101900100708,3.877253532409668,14.316812515258789,1,True,6
