model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.807992279119302,-0.807992279119302,-0.670679096761207,0.4904718402549461,-0.8988839074759888,-0.46321046926805615,2.9500105381011963,3.3046488761901855,15.386845827102661,0.0046460628509521484,0.0003662109375,0.1269981861114502,2,True,7
ExtraTreesMSE_BAG_L1,-0.7744391184863476,-0.7744391184863476,-0.6354139973095841,0.5272396851062261,-0.8800222261320152,-0.49408731895907,0.1380009651184082,0.08588600158691406,1.301591157913208,0.1380009651184082,0.08588600158691406,1.301591157913208,1,True,5
LightGBMXT_BAG_L1,-0.8181747182372905,-0.8181747182372905,-0.6808201506865968,0.4327878245295674,-0.9045301090827715,-0.5142208277516137,0.33797574043273926,0.06885266304016113,4.130718469619751,0.33797574043273926,0.06885266304016113,4.130718469619751,1,True,1
NeuralNetFastAI_BAG_L1,-0.9148982795599131,-0.9148982795599131,-0.7209210717492966,0.3828116417077074,-0.9565031518818499,-0.5286909530638947,2.4693877696990967,3.1495440006256104,9.827538013458252,2.4693877696990967,3.1495440006256104,9.827538013458252,1,True,6
CatBoost_BAG_L1,-0.7244314584178718,-0.7244314584178718,-0.6365542260981032,0.5638731243636012,-0.8511353937052976,-0.5318334355985552,0.5429389476776123,0.6083395481109619,7.758840560913086,0.5429389476776123,0.6083395481109619,7.758840560913086,1,True,4
RandomForestMSE_BAG_L1,-0.7404472829818226,-0.7404472829818226,-0.6247350159555571,0.5429671192608629,-0.8604924653835283,-0.5376566807837502,0.13490915298461914,0.08784723281860352,1.154097557067871,0.13490915298461914,0.08784723281860352,1.154097557067871,1,True,3
LightGBM_BAG_L1,-0.8497124636774798,-0.8497124636774798,-0.6935712301020652,0.4246489061822107,-0.9217984940742091,-0.5458714186743223,0.32635998725891113,0.09745144844055176,5.448193788528442,0.32635998725891113,0.09745144844055176,5.448193788528442,1,True,2
