model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L1,-0.1829471758981545,-0.1829471758981545,-0.31461350197739724,0.9322513117708393,-0.4277232468526284,-0.2078873832106601,0.9741907119750977,0.3062317371368408,5.026147127151489,0.9741907119750977,0.3062317371368408,5.026147127151489,1,True,3
WeightedEnsemble_L2,-0.1829471758981545,-0.1829471758981545,-0.31461350197739724,0.9322513117708393,-0.4277232468526284,-0.2078873832106601,0.9765443801879883,0.3066580295562744,5.116926908493042,0.002353668212890625,0.00042629241943359375,0.09077978134155273,2,True,4
LightGBMXT_BAG_L1,-0.2605188186632929,-0.2605188186632929,-0.377113111879371,0.9019900820415327,-0.5104104413736977,-0.2854762310867817,0.9656627178192139,0.3542459011077881,185.74144840240479,0.9656627178192139,0.3542459011077881,185.74144840240479,1,True,1
LightGBM_BAG_L1,-0.8622037027779867,-0.8622037027779867,-0.7599257884148136,0.8545024851535662,-0.928549246285832,-0.8011680085850531,1.0015296936035156,0.28597235679626465,35.118104219436646,1.0015296936035156,0.28597235679626465,35.118104219436646,1,True,2
