model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMXT_BAG_L1,-0.4386606467654831,-0.4386606467654831,-0.5515307836340148,,-0.6623146131299559,-0.6277506539496591,0.3036494255065918,0.1712207794189453,9.473345518112183,0.3036494255065918,0.1712207794189453,9.473345518112183,1,True,1
LightGBM_BAG_L1,-0.4386606467654831,-0.4386606467654831,-0.5515307836340148,,-0.6623146131299559,-0.6277506539496591,0.30525779724121094,0.1235344409942627,2.2932090759277344,0.30525779724121094,0.1235344409942627,2.2932090759277344,1,True,2
WeightedEnsemble_L2,-0.4386606467654831,-0.4386606467654831,-0.5515307836340148,,-0.6623146131299559,-0.6277506539496591,0.30595874786376953,0.17170047760009766,9.528867244720459,0.0023093223571777344,0.00047969818115234375,0.05552172660827637,2,True,3
