model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.17272533993750083,-0.17272533993750083,-0.37012081753069387,0.9848995168598071,-0.41560238201615357,-0.5454613746533886,1.253077507019043,0.6648349761962891,6.994409084320068,0.0029554367065429688,0.0004718303680419922,0.12139129638671875,2,True,5
CatBoost_BAG_L1,-0.1682534134655064,-0.1682534134655064,-0.36518831859880907,0.9848995204805714,-0.4101870469255537,-0.5454778129736867,0.6536805629730225,0.6047282218933105,5.4826273918151855,0.6536805629730225,0.6047282218933105,5.4826273918151855,1,True,4
RandomForestMSE_BAG_L1,-0.1973060517721736,-0.1973060517721736,-0.3848879994040154,0.9855603680732864,-0.44419145846377284,-0.6636967795343194,0.19212913513183594,0.10049724578857422,1.1132152080535889,0.19212913513183594,0.10049724578857422,1.1132152080535889,1,True,3
LightGBMXT_BAG_L1,-0.9634335627777801,-0.9634335627777801,-0.8485728205328605,,-0.9815465158502577,-0.977249528282309,0.5964415073394775,0.05963492393493652,1.390390396118164,0.5964415073394775,0.05963492393493652,1.390390396118164,1,True,1
LightGBM_BAG_L1,-0.9634335627777801,-0.9634335627777801,-0.8485728205328605,,-0.9815465158502577,-0.977249528282309,0.6255292892456055,0.04673171043395996,1.3340480327606201,0.6255292892456055,0.04673171043395996,1.3340480327606201,1,True,2
