model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L1,-0.019170037092469342,-0.019170037092469342,-0.08598216737797917,0.9627698954977525,-0.1384559030611167,-0.034627773376899235,0.5707333087921143,0.1287529468536377,1.9274258613586426,0.5707333087921143,0.1287529468536377,1.9274258613586426,1,True,3
WeightedEnsemble_L2,-0.019170037092469342,-0.019170037092469342,-0.08598216737797917,0.9627698954977525,-0.1384559030611167,-0.034627773376899235,0.5744671821594238,0.1291790008544922,2.0313940048217773,0.0037338733673095703,0.0004260540008544922,0.10396814346313477,2,True,4
LightGBMXT_BAG_L1,-0.19245145099342653,-0.19245145099342653,-0.39687477315953434,,-0.438692889153023,-0.13144351698882614,0.7004635334014893,0.07856130599975586,3.1873977184295654,0.7004635334014893,0.07856130599975586,3.1873977184295654,1,True,1
LightGBM_BAG_L1,-0.19245145099342653,-0.19245145099342653,-0.39687477315953434,,-0.438692889153023,-0.13144351698882614,0.7179651260375977,0.1208345890045166,3.3665122985839844,0.7179651260375977,0.1208345890045166,3.3665122985839844,1,True,2
