model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.1238630623144162,-0.1238630623144162,-0.23300176120960076,0.8726205274827774,-0.3519418450744614,-0.13021423200741575,1.2111098766326904,0.3192119598388672,61.55518078804016,0.002788066864013672,0.0005424022674560547,0.07360601425170898,2,True,3
LightGBMXT_BAG_L1,-0.12993306520126804,-0.12993306520126804,-0.2356642083905728,0.8636341122886815,-0.3604622937302431,-0.1325286453406823,0.6205739974975586,0.14686203002929688,49.48239779472351,0.6205739974975586,0.14686203002929688,49.48239779472351,1,True,1
LightGBM_BAG_L1,-0.11539179384780313,-0.11539179384780313,-0.23813666227519947,0.8867378847136991,-0.33969367649075116,-0.14742591928862192,0.5877478122711182,0.17180752754211426,11.999176979064941,0.5877478122711182,0.17180752754211426,11.999176979064941,1,True,2
